doc_id;text;llm_green_suggested;llm_confidence;llm_rationale;is_green_human;notes
9325463;1. An access point configured to operate as a master station for high-efficiency WLAN (HEW) communications, the access point comprising hardware processing circuitry configured to: configure an HEW frame to include a legacy signal field (L-SIG), an HEW signal field (HEW SIG-A) following the L-SIG, and one or more HEW fields following the HEW SIG-A, wherein the L-SIG is configured for transmission using a legacy number of data subcarriers, a legacy number of pilot subcarriers, and a number of additional reference subcarriers modulated with a known reference sequence, and wherein at least one symbol of the HEW SIG-A and the one or more HEW fields following the HEW SIG-A of the HEW frame are configured for transmission using additional data subcarriers, the additional data subcarriers corresponding to the additional reference subcarriers of the L-SIG.;0.0;high;The claim describes a technical improvement in WLAN communications, focusing on signal fields and subcarrier configurations. There is no mention of renewable energy, energy efficiency, emissions reduction, or any environmental benefits. The technology is related to wireless communication standards rather than green technology.;0;
9150447;1. A silica crucible for pulling a silicon single crystal, comprising silica glass and having a two-layer structure of an outer layer and an inner layer, wherein when a height position of the bottom of the crucible is 0 and a height position of the upper opening end of the crucible is 100 in a sectional side view of the crucible, the start position for the pulling of the silicon single crystal is within a height position range of 50 to 95 from the bottom of the crucible and the end position for the pulling of the silicon single crystal is within a height position range of 0 to 10 from the bottom of the crucible, wherein the inner layer, in a sectional side view of the crucible, has a wavy inner surface shape having mountain parts and valley parts at least between the start position and the end position for the pulling of a silicon single crystal in a silicon melt surface, the wavy inner surface shape is formed of an amorphous structure, and when a distance from an upper opening end of the crucible to the start position for the pulling of the silicon single crystal is 100, only a crucible portion from the upper opening end to a position within a range of 40 to 100 is crystalline, and wherein the crucible portion from the upper opening end to the position within the range of 40 to 100 does not have a crystallization promoter.;0.0;high;The claim describes a silica crucible used in the production of silicon single crystals, which is a process related to semiconductor manufacturing. There is no mention of renewable energy, energy efficiency, emissions reduction, or any environmental benefits. The focus is on the structural design of the crucible for industrial processing, not on green technology.;0;
8895813;1. A plant of soybean variety A1037445, wherein a sample of seed of said variety has been deposited under ATCC Accession No. PTA-121377.;0.0;high;The claim describes a soybean variety and a seed sample deposited in a collection, which does not relate to renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on a plant variety and its deposition, indicating no environmental purpose.;0;
9501132;"1. A processor, comprising: a core including locally-gated circuitry; a decode unit including circuitry to decode a store broadcast instruction of a specified width; a local power gate (LPG) coupled to the locally gated circuitry and including circuitry to: an execution unit including circuitry to execute, by the first portion of the locally-gated circuitry for execution of full cache-line memory operations, the store broadcast instruction, the store broadcast instruction to store data of the specified width to storage of the processor.";0.0;high;The claim describes a processor with locally-gated circuitry and a local power gate, focusing on circuitry components and execution units. There is no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The technology appears to be general-purpose computing hardware without an environmental purpose.;0;
8936732;1. A glass ceramic emitting white light, having a chemical formula of: aSiO wherein a, b, c, d, n and m represent molar parts, and the values of a, b, c, d, n and m are: a is 25˜50, b is 15˜30, c is 10˜30, d is 10˜25, n is 0.01˜1, m is 0.01˜1, and a+b+c+d=100.;0.0;high;The claim describes a glass ceramic emitting white light with specific chemical composition and molar ratios. There is no mention of renewable energy, energy efficiency, emissions reduction, or any environmental benefits. The focus is on material composition and light emission, which does not align with green technology criteria.;0;
9086874;"1. A computing device, comprising: a circuit substrate having a socket; a main processor having a clock frequency; an interposer substrate inserted between the socket and the main processor, the interposer substrate having a first set of interconnects that electrically connect between the socket and circuits on the circuit substrate, and a second set of interconnects that electrically connect to the main processor without connecting to the socket or the circuit substrate; and peripheral circuit modules residing on the interposer substrate, the interposer substrate having conductive traces between the peripheral circuit modules and the main processor, where the conductive traces have a length in meters of less than one-quarter a distance determined by three hundred divided by the clock frequency of the main processor expressed in Megahertz.";0.0;high;The claim describes a computing device with interconnects and conductive traces optimized for clock frequency, which relates to electronic performance rather than environmental benefits. There is no mention of renewable energy, energy efficiency, emissions reduction, or other green technology aspects. The focus is on hardware design and signal integrity, not environmental impact.;0;
8791307;"1. A process for producing α,β-unsaturated ethers, comprising pyrolyzing an acetal in a gas phase in the presence of a catalyst and a compound having at least one hydrogen atom capable of hydrogen bonding, wherein the compound having at least one hydrogen atom capable of hydrogen bonding is water and/or a carboxylic acid; wherein the process comprises: a step of supplying the water and optionally the carboxylic acid to the acetal to obtain an acetal solution, wherein the concentration of the water relative to the acetal is 40 to 5000 ppm by weight when supplying the water, and the concentration of the carboxylic acid relative to the acetal is 5 to 5000 ppm by weight when supplying the carboxylic acid, and a step of feeding the acetal solution to a reactor with the catalyst; wherein the catalyst contains an apatite represented by Formula (1) below: wherein M is at least one selected from the group consisting of Mg, Ca, Sr, Ba, Pb, Mn and Cd; Z is at least one selected from the group consisting of P, As and Sb; X is at least one selected from the group consisting of OH, F, Cl, Br, I and At; and 0≦y<1; wherein the temperature in the gas-phase pyrolysis of the acetal is in the range of 150 to 400° C.";0.0;high;The claim describes a process for producing α,β-unsaturated ethers through pyrolysis of an acetal. The process involves the use of a catalyst and specific compounds like water and carboxylic acids. However, there is no mention of renewable energy, energy efficiency, emissions reduction, or any other green technology aspects. The focus is on chemical production without environmental benefits.;0;
8895142;1. A carbon black having: a) a nitrogen BET surface area (BET) of 650 m b) a dibutyl phthalate adsorption value for the carbon black determined after controlled compression (CDBP value) in mL/100 g of from (−2.8+(b*BET)) to (108+(b*BET)), where b is 0.087 and BET is expressed in m c) an apparent density (ρ, g/cm;1.0;high;The claim mentions carbon black with a nitrogen BET surface area and a dibutyl phthalate adsorption value, which are related to carbon capture and storage technologies. The specific parameters described suggest a focus on improving carbon capture efficiency.;0;
9551951;"1. An image forming apparatus comprising: a photoconductor unit including a photoconductor; a charging portion configured to charge the photoconductor; an apparatus main body configured to detachably support the photoconductor unit; a first electric pathway configured to connect the charging portion and a power supply unit; a second electric pathway formed in the photoconductor unit and configured to connect the first electric pathway and the photoconductor; an electrical component disposed on the second electric pathway and having a predetermined electrical property in accordance with a type of the photoconductor unit; a voltage control portion configured to apply a preset detection voltage on the first electric pathway from the power supply unit; a current detection portion configured to detect current flowing through the second electric pathway when the detection voltage is applied on the first electric pathway; a determination processing portion configured to determine the type of the photoconductor unit and existence of usage of the photoconductor unit, based on a current value detected by the current detection portion; and a blocking portion configured to block the second electric pathway after determination by the determination processing portion.";0.0;high;The claim describes an image forming apparatus with components related to charging, electrical pathways, and voltage control. There is no mention of renewable energy, energy efficiency, emissions reduction, or any other green technology aspects. The focus is on electrical circuitry and device functionality rather than environmental benefits.;0;
8448150;"1. A method of translating a high-level language code into a HDL code, comprising the steps of: (1) marking a translation-targeted section of a high-level language code using a programming directive; (2) partitioning the marked translation-targeted section of the high-level language code into a hardware code part and remaining sections of the high-level language code as a software code part; (3) compiling the software code part and the hardware code part together by means of a main compiler and translating the hardware code part into a HDL code by means of a HLL-to-HDL (high-level language to hardware description language) translator, wherein the translation of the hardware code part into the HDL code by means of the HLL-to-HDL comprises the steps of: (4) executing the software code part in the main core and executing the HDL code in a dedicated hardware.";0.0;high;The claim describes a method for translating high-level language code into HDL code, which is related to software development and hardware description. There is no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on programming and compilation processes rather than environmental benefits.;0;
8490722;"1. A riding-type ground working vehicle comprising: left and right wheels which are main drive wheels independently driven to travel by two respective traction motors, steering control wheels provided separately in a longitudinal direction with respect to the left and right wheels, and a working machine that is driven to perform ground work, the riding-type ground working vehicle further comprising: command value calculating section that calculates two target rotational speed command values of the two respective traction motors based on an acceleration instruction and a turn instruction input by a driver; yaw rate detecting section that detects a yaw rate of the vehicle; target yaw rate calculating section that calculates a target yaw rate based on the acceleration instruction and the turn instruction; correction coefficient acquiring section that acquires two correction coefficients relating to the two respective traction motors based on a deviation between the target yaw rate and a yaw rate detection value; and control section that corrects the two target rotational speed command values by the two correction coefficients, and controls driving of the two traction motors based on the two corrected target rotational speed command values.";0.0;high;The claim describes a vehicle with traction motors and steering control, but there is no mention of renewable energy, energy efficiency, emissions reduction, or any environmental benefits. The focus is on vehicle control and maneuverability rather than green technology aspects.;0;
9598737;"1. A rapid and sensitive method of identifying a nucleic acid sequence motif of an organism comprising: providing multiple nucleic acid samples wherein each sample is obtained from a different strain or serotype of the organism and the samples are provided at ambient temperatures without refrigeration; amplifying sequences of the multiple nucleic acid samples by PCR in a single PCR reaction; obtaining sequence information of the amplified sequences by next generation sequencing wherein said sequencing is ion torrent sequencing; detecting a polymorphism in the genome of at least one strain or serotype from the sequence information obtained; and correlating the polymorphism identified with a phenotype or genome location of the at least one strain or serotype to identify the motif.";0.0;high;The claim describes a method for identifying nucleic acid sequence motifs, which is a biological research technique. There is no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on genetic analysis and does not align with GREEN technology criteria.;0;
8850356;"1. A controller comprising: first and second input operating sections to input an instruction; and a control unit to control selection of an object on a screen display based on an instruction input at the first and second input operating sections, wherein, when an enter instruction is input at one of the first or second input operating sections following input of a movement instruction at the other of the first or second input operating sections, the control unit controls, based on a result of a determination whether a preset time period starting from a most recent input of a movement instruction at the other of the input operating sections is elapsed, start of a function of an object at a position indicated based on the input of the movement instruction at the other of the input operating sections, wherein the control unit, in response to the determination that the enter instruction is input at the one of the input operating sections before the preset time period starting from the most recent input of the movement instruction at the other of the input operating sections is elapsed, automatically controls display of an indicator of the one of the input operating sections on the screen display at the position of the object indicated based on the most recent input of the movement instruction at the other of the input operating sections.";0.0;high;The claim describes a controller with input operating sections and a control unit for selecting objects on a screen. There is no mention of renewable energy, energy efficiency, emissions reduction, or any environmental benefits. The focus is on user interface and control mechanisms, which falls under general technology without an environmental purpose.;0;
8476141;"1. A method for forming a capacitor stack, the method comprising: forming a first electrode material above a substrate; forming a first dielectric material above the first electrode material, wherein the first dielectric material further contains a dopant; forming a second dielectric material above the first dielectric material, wherein the second dielectric material further contains a dopant and a doping level of the second dielectric material is less than a doping level of the first dielectric material; forming a second electrode material on the second dielectric material; and annealing the stack, wherein the first dielectric material is less than 30% crystalline after the annealing and the second dielectric material is equal to or greater than 30% crystalline after the annealing.";0.0;high;The claim describes a method for forming a capacitor stack with specific material and doping levels, but there is no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on material properties and manufacturing processes rather than environmental benefits.;0;
9845351;"1. A method for producing at least one immunoglobulin in an isolated cell line comprising: introducing into at least one isolated B lymphocyte cell line at least one exogenous membrane immunoglobulin reactive to at least one first antigen to produce at least one first isolated B lymphocyte cell line; selecting the at least one first isolated B lymphocyte cell line expressing the membrane immunoglobulin reactive to the at least one first antigen; introducing into the at least one first isolated B lymphocyte cell line at least one exogenous nucleic acid encoding one or more secreted immunoglobulins reactive to at least one second antigen to produce at least one isolated recombinant B lymphocyte cell line; and selecting the at least one isolated recombinant B lymphocyte cell line expressing the one or more secreted immunoglobulin reactive to the at least one second antigen.";0.0;high;The claim describes a method for producing immunoglobulins in isolated cell lines, which involves genetic modification and cell line selection. There is no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on biotechnology for medical purposes, not environmental benefits.;0;
9588923;"1. A server on a chip, comprising: a first data structure, executed by a processor, configured for extracting a metadata string from a packet; a second data structure, executed by the processor, configured for associating the packet with a result database based on the metadata string; and an Ethernet direct memory access engine configured for assigning the packet to a queue based on the result database, wherein the queue is associated with a respective core of a multiprocessor, the Ethernet direct memory access engine further configured for enqueuinq a descriptor message in the queue, and the descriptor message comprises data that indicates a presence of the packet and a location of the packet in a memory.";0.0;high;The claim describes a server on a chip with components for packet processing and memory management. There is no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on data processing and network communication, which does not align with GREEN technology criteria.;0;
8588993;1. A computer program product for determining optimal settings for controllable taps of voltage regulating transformers in a distribution network, comprising: a non-transitory computer readable medium having computer readable code embedded therein, the non-transitory computer readable medium comprising:;0.0;high;The claim focuses on determining optimal settings for controllable taps of voltage regulating transformers in a distribution network. This is a general technological process without any mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport.;0;
9373307;"1. A portable device with a flexible display, the portable device comprising: a sensor configured to detect at least one of a user's face and a value of an ambient brightness; the flexible display including a first area and a second area, the first area and the second area being on a same side of the flexible display; and a controller configured to:";0.0;high;The claim describes a portable device with a flexible display and sensors for detecting ambient brightness and user's face. There is no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on display technology and user interaction rather than environmental benefits.;0;
9677773;"1. A broil baffle for an oven, the oven comprising a ceiling, a broil burner configured to distribute heat, and a broiling surface, the broil baffle being positioned, when in use, such that the broil burner distributes heat toward the broil baffle, the broil baffle comprising: a first side facing the ceiling; a second side opposite the first side and facing the broiling surface; and a plurality of dimples, each comprising a depression in the first side and a protruding closed peak on the second side in a location corresponding to the location of the depression, said plurality of dimples being configured to disperse infrared radiation from the distributed heat in multiple directions away from the broil baffle toward the broiling surface.";0.0;high;The claim describes a broil baffle with dimples that disperse infrared radiation. This is a cooking appliance component, not related to renewable energy, energy efficiency, or emissions reduction. The focus is on heat distribution in an oven, which is a general technological improvement without an environmental purpose.;0;
9468609;1. A composition comprising astaxanthin, carnosic acid, and tomato lycopene, wherein the molar concentration ratio of astaxanthin to tomato lycopene is from 6:1 to 1:5.;0.0;high;The claim describes a composition of astaxanthin, carnosic acid, and tomato lycopene, which are natural compounds. There is no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on a specific ratio of compounds, indicating a general technological application rather than an environmental purpose.;0;
8929092;1. A circuit board in which an electric circuit including a wiring section and a pad section is provided on a surface of an insulating base substrate, wherein the electric circuit has a configuration in which a conductor is embedded in a circuit recess formed in the surface of the insulating base substrate, a surface roughness of a bottom surface of the circuit recess is different in the wiring section and the pad section of the electric circuit, and wherein a ratio (RzT/RzB) between a ten-point average roughness (RzT) of a top surface of the conductor of the pad section and a ten-point average roughness (RzB) of the bottom surface of the circuit recess for the pad section is 0.1 or greater and 2.0 or less (0.1≦(RzT/RzB)≦2.0).;0.0;high;The claim describes a circuit board with specific surface roughness measurements and ratios, which are technical specifications related to manufacturing processes rather than environmental benefits. There is no mention of renewable energy, energy efficiency, emissions reduction, or other green technology aspects.;0;
8815323;"1. A method for the prevention, mitigation or slowing of the discolouration of fruit the method comprising: (i) an first step of pre-dipping the fruit in a chelating agent, wherein the chelating agent comprises a combination of citric acid and tannic acid and derivatives thereof; and (ii) treating the pre-dipped fruit with an enzyme inhibitor, wherein the enzyme inhibitor comprises tannic acid or a derivative thereof.";0.0;high;The claim focuses on preventing fruit discoloration through chemical treatments, which does not align with renewable energy, energy efficiency, or emissions reduction. The methods described are related to food preservation rather than environmental sustainability.;0;
9381124;1. A wheeled vehicle, including a pair of ground-engaging wheels, each connected to a respective pivotable hub, each pivotable hub being pivotably attached to a body of the vehicle by a respective first fixed pivot member and pivotably attached to a respective laterally-adjustable pivot member, wherein each laterally-adjustable pivot member incorporates a thread and is threaded onto a cross-shaft that may be rotated in order to adjust the position of said laterally-adjustable pivot members and cause the pivotable hubs to pivot and thereby adjust a camber of said pair of wheels simultaneously, and wherein the pivotable hubs are each provided with one or more lugs arranged to engage the respective laterally-adjustable pivot member when said wheels are in a minimum or maximum camber position.;0.0;high;The claim describes a mechanical system for adjusting wheel camber in a vehicle, which is related to vehicle engineering rather than green technology. There is no mention of renewable energy, emissions reduction, or energy efficiency. The focus is on mechanical adjustment mechanisms rather than environmental benefits.;0;
8996703;1. A method implemented by a synchronizing device for synchronizing refresh-requesting messages transmitted from a client terminal across multiple, simultaneous soft-state dialogues, the method comprising: continuously detecting whether a time offset larger than an adjustable threshold value exists between refresh-requesting messages for different soft-state dialogues, when a time offset larger than the adjustable threshold value is detected,;0.0;high;The claim describes a method for synchronizing refresh-requesting messages across multiple soft-state dialogues, focusing on time offset detection and adjustment. There is no mention of renewable energy, energy efficiency, emissions reduction, or any environmental benefits. The technology appears to be a general-purpose synchronization method without an environmental purpose.;0;
8860490;"1. A method comprising: operating a first voltage range island of a semiconductor device within a first voltage range, wherein the first voltage range includes a first midpoint, and wherein the first voltage range is provided in part by a voltage source that includes a tracking voltage regulator; and operating a second voltage range island of the semiconductor device within a second voltage range, wherein the second voltage range includes a second midpoint, and wherein the first voltage range is different than the second voltage range.";0.0;high;The claim describes a method for operating voltage range islands in a semiconductor device, which involves technical aspects of voltage regulation and semiconductor operation. There is no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on electrical engineering and semiconductor technology without any environmental benefits or green technology components.;0;
8741675;"1. A method of manufacturing a semiconductor light emitting device, the method comprising: preparing a light emitting structure including first and second conductive semiconductor layers and an active layer disposed therebetween; forming at least one electrode on a surface of the light emitting structure; disposing a mask having a first open part and a recess part on the surface of the light emitting structure, wherein the first open part exposes a portion of the surface of the light emitting structure therethrough, and the recess part corresponds to a region on the surface of the light emitting structure where the at least one electrode is located; and applying a wavelength conversion material-containing paste to the surface of the light emitting structure through the first open part.";0.0;high;The claim describes a method for manufacturing a semiconductor light emitting device, which is a general technology related to electronics. There is no mention of renewable energy, energy efficiency, emissions reduction, or any other green technology aspects. The focus is on semiconductor manufacturing processes rather than environmental benefits.;0;
9676379;"1. A method for operating an electromechanical brake booster of a braking system, comprising: establishing a virtual setpoint brake pressure variable at least while taking into consideration at least one of an actuation travel, and an actuation strength, of an actuation of a brake actuation element of the braking system; establishing a setpoint differential travel variable with respect to a setpoint differential travel to be set between a valve piston and a valve body of the electromechanical brake booster at least by: controlling a motor of the electromechanical brake booster in such a way that a differential travel, which corresponds to the established setpoint differential travel variable, is set between the valve piston and the valve body of the electromechanical brake booster.";0.0;high;The claim describes a method for operating an electromechanical brake booster, which is a braking system component. There is no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on brake actuation mechanics and control systems, which fall under general technology with no environmental purpose.;0;
